delta,epoch,epoch_time_seconds,epsilon,stage,total_steps,train_loss,train_nondelayed,train_nondelayed_ratio,val_accuracy,val_f1,val_loss,val_nondelayed,val_nondelayed_ratio,val_precision,val_recall
1e-05,0,865.2545063495636,4.499373257467956,1,151,0.26384618207318894,,,0.6886468646864181,0.4175676765265399,,,,0.30744596505857347,0.6584581975824253
1e-05,1,878.9575338363647,7.719532574383663,1,302,0.2645821993714137,,,0.6299523285661437,0.3680849612628442,,,,0.2602386536505428,0.6337806583227303
1e-05,2,868.7931587696075,10.939691891299372,1,453,0.26639091100124335,,,0.7502200220021451,0.32131027138027707,,,,0.30051472229983955,0.3482448023542744
1e-05,3,870.3519005775452,14.15985120821508,1,604,0.26561789036981315,,,0.3961972863952771,0.28842425774869135,,,,0.18049486504999684,0.7179475280068743
1e-05,4,874.9749748706818,17.380010525130785,1,755,0.2616411312329059,,,0.2030986431976382,0.2989168905383983,,,,0.17594510885073045,0.9969379455524123
1e-05,5,872.9571652412415,20.600169842046494,1,906,0.2545305189510055,,,0.724107077374351,0.3618889563025164,,,,0.2995763337438468,0.4607134718688568
1e-05,0,676.5650508403778,23.820329158962203,2,1057,0.7974119521924202,,,,,0.4572517206030403,,,,
1e-05,1,674.4636759757996,27.04048847587791,2,1208,0.6625287457807174,,,,,0.45402648994797773,,,,
1e-05,2,673.568116903305,30.26064779279362,2,1359,0.6641253418480324,,,,,0.4561863681778227,,,,
1e-05,3,680.4396584033966,33.480807109709325,2,1510,0.6554312883623389,,,,,0.43505999715505894,,,,
1e-05,4,676.1023156642914,36.70096642662504,2,1661,0.6643513042405741,,,,,0.4494524613016152,,,,
1e-05,5,668.3623428344727,39.92112574354074,2,1812,0.6666775957638065,,,,,0.44945521116857057,,,,
1e-05,6,660.14528632164,43.14128506045645,2,1963,0.6627529417442171,,,,,0.4572931507672314,,,,
1e-05,7,674.6350057125092,46.36144437737216,2,2114,0.6602721863629802,,,,,0.4835711073368379,,,,
1e-05,8,671.9635109901428,49.581603694287864,2,2265,0.6669645929178655,,,,,0.4615116972029245,,,,
,0,384.7644045352936,49.581603694287864,3,,0.08396359996882495,1092057.0,0.5685723954808143,,,42.897572718691244,157025.0,0.5758159149248259,,
,1,370.394428730011,49.581603694287864,3,,0.04509241579236179,1092057.0,0.5685723954808143,,,23.287559205550362,157025.0,0.5758159149248259,,
,2,368.4151291847229,49.581603694287864,3,,0.02582416268966056,1092057.0,0.5685723954808143,,,15.111069245137337,157025.0,0.5758159149248259,,
,3,357.4287190437317,49.581603694287864,3,,0.018708028731904677,1092057.0,0.5685723954808143,,,12.003043655869416,157025.0,0.5758159149248259,,
,4,360.47411131858826,49.581603694287864,3,,0.01585911326603779,1092057.0,0.5685723954808143,,,10.238466366001996,157025.0,0.5758159149248259,,
,5,357.51028633117676,49.581603694287864,3,,0.014333730656036874,1092057.0,0.5685723954808143,,,8.858648725839922,157025.0,0.5758159149248259,,
,6,359.47855734825134,49.581603694287864,3,,0.013306520749746963,1092057.0,0.5685723954808143,,,7.98533387606169,157025.0,0.5758159149248259,,
,7,354.5462942123413,49.581603694287864,3,,0.012497427410735989,1092057.0,0.5685723954808143,,,7.331540795372028,157025.0,0.5758159149248259,,
,8,354.2059121131897,49.581603694287864,3,,0.011825003210973265,1092057.0,0.5685723954808143,,,6.837547316849955,157025.0,0.5758159149248259,,
,9,358.70462250709534,49.581603694287864,3,,0.01134141633250066,1092057.0,0.5685723954808143,,,6.4841330045929295,157025.0,0.5758159149248259,,
,10,352.3493275642395,49.581603694287864,3,,0.010958210626826776,1092057.0,0.5685723954808143,,,6.253339650828521,157025.0,0.5758159149248259,,
,11,363.524845123291,49.581603694287864,3,,0.010653598517771588,1092057.0,0.5685723954808143,,,6.0696502540921795,157025.0,0.5758159149248259,,
,12,356.406405210495,49.581603694287864,3,,0.010412473700299168,1092057.0,0.5685723954808143,,,5.936573079964185,157025.0,0.5758159149248259,,
