step,arrival_mae,arrival_rmse,arrival_r2,departure_mae,departure_rmse,departure_r2
3,8.145075411188213,10.894780725401223,0.18788926016127072,5.8000170159096625,8.04711715576891,0.19030615625236647
6,8.391521881977846,11.191775861890568,0.14311583546352036,5.9661325621442,8.275835980675916,0.14390432755334637
12,8.64347901292087,11.499800900321272,0.09573257901127408,6.236678868720468,8.542872510062747,0.08822977121015707
avg,8.37260890341904,11.172410904605469,0.14570176484079025,6.009332039675669,8.267982479789945,0.1450051944103329
