metric,value
classification_precision,0.0
classification_recall,0.0
classification_f1,0.0
classification_accuracy,0.7580179028132715
regression_mae_delayed,11.995407457232913
regression_rmse_delayed,14.623171275870709
regression_mae_nondelayed,1.9496229972278316
regression_rmse_nondelayed,2.008474277655578
regression_mae_overall,5.224458317532102
regression_rmse_overall,7.77937160119665
num_delayed_samples,132461
num_nondelayed_samples,257013
target_epsilon,15.0
final_epsilon,25.178833870786015
epsilon_exceeded,True
epsilon_overshoot,10.178833870786015
final_delta,1e-05
stage1_time_seconds,8642.340240478516
stage2_time_seconds,6086.258286952972
stage3_time_seconds,3132.053755760193
total_training_time_seconds,17860.65228319168
total_training_time_minutes,297.67753805319467
train_samples,19207
val_samples,2727
test_samples,5474
