threshold,f1_macro,f1_arrival,f1_departure
0.050000,0.291710,0.317591,0.265830
0.100000,0.291721,0.317593,0.265849
0.150000,0.291801,0.317613,0.265989
0.200000,0.292360,0.317660,0.267061
0.250000,0.296803,0.318850,0.274757
0.300000,0.311626,0.323492,0.299759
0.350000,0.339520,0.337141,0.341900
0.400000,0.374701,0.362377,0.387026
0.450000,0.402887,0.397091,0.408683
0.500000,0.421782,0.425737,0.417827
0.550000,0.368086,0.323203,0.412970
0.600000,0.157282,0.003715,0.310850
0.650000,0.040245,0.000000,0.080491
0.700000,0.000000,0.000000,0.000000
0.750000,0.000000,0.000000,0.000000
0.800000,0.000000,0.000000,0.000000
0.850000,0.000000,0.000000,0.000000
0.900000,0.000000,0.000000,0.000000
0.950000,0.000000,0.000000,0.000000
