delta,epoch,epoch_time_seconds,epsilon,lr,total_steps,train_loss,val_loss
1e-05,1,719.2783780097961,6.310712873233042,0.005,151,0.4897074644139271,0.4185763895511627
1e-05,2,715.1548979282379,11.342211805913836,0.005,302,0.4822077393926532,0.4057396650314331
1e-05,3,714.547952413559,16.373710738594628,0.005,453,0.46288040043502454,0.3936288058757782
1e-05,4,715.4803352355957,21.405209671275422,0.005,604,0.44978431498767524,0.3871344327926636
1e-05,5,708.5043213367462,26.436708603956216,0.005,755,0.4402715352592089,0.3853594660758972
1e-05,6,711.3909959793091,31.46820753663701,0.005,906,0.4327891669328639,0.3822696805000305
1e-05,7,710.8209407329559,36.4997064693178,0.005,1057,0.4323663543786434,0.38381651043891907
1e-05,8,719.7367355823517,41.5312054019986,0.005,1208,0.4304958949025893,0.38083553314208984
1e-05,9,714.5479142665863,46.56270433467939,0.005,1359,0.43020339497667276,0.3840596675872803
1e-05,10,715.72314620018,51.594203267360186,0.005,1510,0.42816164872504225,0.3795565664768219
1e-05,11,712.9973785877228,56.625702200040976,0.005,1661,0.42741287030921077,0.3844474256038666
1e-05,12,714.2652087211609,61.657201132721774,0.005,1812,0.42751541339009014,0.38286086916923523
1e-05,13,1133.7444384098053,66.68870006540257,0.0025,1963,0.42822236355566823,0.3811802566051483
1e-05,14,920.2731645107269,71.72019899808336,0.0025,2114,0.4238959943616627,0.37895697355270386
1e-05,15,853.2582495212555,76.75169793076417,0.0025,2265,0.4217345631675215,0.3770080506801605
1e-05,16,862.4830074310303,81.78319686344496,0.0025,2416,0.4214009958387211,0.37572500109672546
1e-05,17,940.7172560691833,86.81469579612575,0.0025,2567,0.42060153373819315,0.37662214040756226
1e-05,18,1002.0818703174591,91.84619472880654,0.0025,2718,0.4199839923160755,0.3770151436328888
1e-05,19,809.3736908435822,96.87769366148733,0.00125,2869,0.41942899175827075,0.37642014026641846
1e-05,20,750.1010928153992,101.90919259416813,0.00125,3020,0.418280551370406,0.37678906321525574
