delta,epoch,epoch_time_seconds,epsilon,lr,total_steps,train_loss,val_loss
1e-05,1,596.2814555168152,2.5454189699686065,0.001,76,0.3930136082988036,0.31920844316482544
1e-05,2,560.4506149291992,3.811623999384965,0.001,152,0.3901339298800418,0.31999799609184265
1e-05,3,539.2985632419586,5.0778290288013235,0.001,228,0.38921493683990677,0.3204552233219147
1e-05,4,529.8456990718842,6.344034058217682,0.0005,304,0.3900436723702832,0.3210969865322113
1e-05,5,541.4253404140472,7.6102390876340404,0.0005,380,0.3873330021375104,0.32139119505882263
1e-05,6,531.9554870128632,8.876444117050399,0.0005,456,0.3869782678390804,0.3216874599456787
