delta,epoch,epoch_time_seconds,epsilon,stage,total_steps,train_loss,train_nondelayed,train_nondelayed_ratio,val_accuracy,val_f1,val_loss,val_nondelayed,val_nondelayed_ratio,val_precision,val_recall
1e-05,0,729.1323306560516,4.499373257467956,1,151,0.2664658926575389,,,0.6417491749174447,0.2756590155493634,,,,0.23577442186513503,0.4157219086737672
1e-05,1,715.3237977027893,7.719532574383663,1,302,0.25996799924910463,,,0.5431903190318633,0.3885725158615339,,,,0.2540601595085707,0.8361250283304046
1e-05,2,715.9051051139832,10.939691891299372,1,453,0.24908755699925075,,,0.6206710671066651,0.41054434607567025,,,,0.28040750227871114,0.7688134570056533
1e-05,3,717.5133821964264,14.15985120821508,1,604,0.24533333456674158,,,0.6290942427575629,0.408405198233522,,,,0.2811814635185487,0.7539411267230844
1e-05,4,717.2345292568207,17.380010525130785,1,755,0.25421063138159694,,,0.566567656765635,0.38349037664388475,,,,0.2537508875066961,0.7918425676968985
1e-05,5,716.0034031867981,20.600169842046494,1,906,0.24782580364224138,,,0.6382838283827914,0.40133143895454987,,,,0.2795206764032113,0.7115653047503465
1e-05,6,714.1372444629669,23.820329158962203,1,1057,0.2536438196305408,,,0.671433810047622,0.342185795166033,,,,0.2607614356062369,0.5048669375922828
1e-05,7,717.4153227806091,27.04048847587791,1,1208,0.2534322113982889,,,0.6591822515584408,0.4043821002647884,,,,0.2884679099084003,0.6770684014711867
1e-05,0,565.8178243637085,30.26064779279362,2,1359,0.7513282145095976,,,,,0.4728679532892943,,,,
1e-05,1,572.5397691726685,33.480807109709325,2,1510,0.6453721150262466,,,,,0.46978940048190493,,,,
1e-05,2,577.9853024482727,36.70096642662504,2,1661,0.6425546865589571,,,,,0.49196069032792067,,,,
1e-05,3,561.178103685379,39.92112574354074,2,1812,0.648813734386141,,,,,0.49511521505167616,,,,
1e-05,4,564.0286128520966,43.14128506045645,2,1963,0.6438440648925225,,,,,0.49947279132117794,,,,
1e-05,5,562.2070684432983,46.36144437737216,2,2114,0.638861571716157,,,,,0.48301767889573716,,,,
1e-05,6,563.528037071228,49.581603694287864,2,2265,0.6399253373903944,,,,,0.4886457541280672,,,,
,0,292.9753739833832,49.581603694287864,3,,0.07899597306914677,1092057.0,0.5685723954808143,,,30.695567716708574,157025.0,0.5758159149248259,,
,1,293.9204943180084,49.581603694287864,3,,0.040634997324734336,1092057.0,0.5685723954808143,,,16.710337610799566,157025.0,0.5758159149248259,,
,2,293.2827138900757,49.581603694287864,3,,0.026442028717785483,1092057.0,0.5685723954808143,,,11.165600730909906,157025.0,0.5758159149248259,,
,3,292.14368081092834,49.581603694287864,3,,0.019988976455978212,1092057.0,0.5685723954808143,,,8.674503255858852,157025.0,0.5758159149248259,,
,4,295.6166784763336,49.581603694287864,3,,0.01667608902943845,1092057.0,0.5685723954808143,,,7.426632787782538,157025.0,0.5758159149248259,,
,5,294.18609142303467,49.581603694287864,3,,0.014876504496529403,1092057.0,0.5685723954808143,,,6.773135195458731,157025.0,0.5758159149248259,,
,6,294.45582580566406,49.581603694287864,3,,0.013760357089834103,1092057.0,0.5685723954808143,,,6.415663377934977,157025.0,0.5758159149248259,,
,7,296.0400264263153,49.581603694287864,3,,0.01295157881539981,1092057.0,0.5685723954808143,,,6.197144285894602,157025.0,0.5758159149248259,,
,8,296.21692848205566,49.581603694287864,3,,0.012404900519115641,1092057.0,0.5685723954808143,,,6.0583405340582255,157025.0,0.5758159149248259,,
,9,296.6733100414276,49.581603694287864,3,,0.01190207049941385,1092057.0,0.5685723954808143,,,5.957110161091159,157025.0,0.5758159149248259,,
,10,299.4442391395569,49.581603694287864,3,,0.011511156242957572,1092057.0,0.5685723954808143,,,5.872921743917662,157025.0,0.5758159149248259,,
,11,297.7319059371948,49.581603694287864,3,,0.011124816013882492,1092057.0,0.5685723954808143,,,5.828264960817063,157025.0,0.5758159149248259,,
,12,297.6848931312561,49.581603694287864,3,,0.010838307279920736,1092057.0,0.5685723954808143,,,5.790022461589633,157025.0,0.5758159149248259,,
