metric,value
classification_precision,0.4098965523895764
classification_recall,0.4418826139614971
classification_f1,0.42392766620624284
classification_accuracy,0.7114760686883188
regression_mae_delayed,10.975057724726067
regression_rmse_delayed,13.749929747090736
regression_mae_nondelayed,1.5123611205605911
regression_rmse_nondelayed,2.1055686010775982
regression_mae_overall,5.068611422975507
regression_rmse_overall,7.693366638705343
num_delayed_samples,132461
num_nondelayed_samples,257013
target_epsilon,15.0
final_epsilon,49.581603694287864
epsilon_exceeded,True
epsilon_overshoot,34.581603694287864
final_delta,1e-05
stage1_time_seconds,5231.345422267914
stage2_time_seconds,6056.306300878525
stage3_time_seconds,4698.478944301605
total_training_time_seconds,15986.130667448044
total_training_time_minutes,266.43551112413405
train_samples,19207
val_samples,2727
test_samples,5474
