delayed_pct,delta,epoch,epoch_time_seconds,epsilon,lr,stage,total_steps,train_loss,train_nondelayed,train_nondelayed_ratio,val_accuracy,val_f1,val_loss,val_nondelayed,val_nondelayed_ratio,val_precision,val_recall
,1e-05,0,832.8754041194916,21.405209671275422,,1,151,0.2736043200784961,,,0.2925742574257211,0.28699805474815904,,,,0.17668177322989584,0.8351528808419321
,1e-05,1,1026.4990696907043,41.5312054019986,,1,302,0.2669368754356902,,,0.5864943160982334,0.24967383368925095,,,,0.18084586536262154,0.4048960616616337
,1e-05,2,934.8773930072784,61.657201132721774,,1,453,0.26841162076059555,,,0.18714338100475342,0.28613628143757897,,,,0.16847739055272104,0.954004911221179
,1e-05,3,856.8941874504089,81.78319686344496,,1,604,0.2657088974848488,,,0.5017528419508249,0.31126235057518276,,,,0.20734748952123994,0.6905301190495077
23.316811579111782,1e-05,0,551.9406087398529,101.90919259416813,0.0022851441186718165,2,755,1.0513973488712942,,,,,0.8702347489511187,,,,
23.316811579111782,1e-05,1,543.5780827999115,122.03518832489131,0.001722644118671816,2,906,1.015425186283541,,,,,0.8652729640127753,,,,
23.316811579111782,1e-05,2,544.0973024368286,142.16118405561446,0.0010273558813281842,2,1057,1.012417843010252,,,,,0.8713662710379253,,,,
23.316811579111782,1e-05,3,548.409759759903,162.28717978633765,0.0004648558813281843,2,1208,1.0106128138422177,,,,,0.8638771936631422,,,,
23.316811579111782,1e-05,4,558.2067291736603,182.4131755170608,0.00025,2,1359,1.0117198122258217,,,,,0.8621948481764768,,,,
23.316811579111782,1e-05,5,556.2402234077454,202.539171247784,0.00046485588132818417,2,1510,1.0078701996645392,,,,,0.8637342658380988,,,,
,,0,265.81423330307007,202.539171247784,,3,,0.035499391189178095,1092057.0,0.5685723954808143,,,12.116701150474363,157025.0,0.5758159149248259,,
,,1,264.3767673969269,202.539171247784,,3,,0.015107193486826704,1092057.0,0.5685723954808143,,,8.039780845311295,157025.0,0.5758159149248259,,
,,2,264.44748711586,202.539171247784,,3,,0.011188732114750029,1092057.0,0.5685723954808143,,,6.891277986774966,157025.0,0.5758159149248259,,
,,3,266.56788301467896,202.539171247784,,3,,0.010000745870715736,1092057.0,0.5685723954808143,,,6.465379380120968,157025.0,0.5758159149248259,,
,,4,266.32016468048096,202.539171247784,,3,,0.009599179717163179,1092057.0,0.5685723954808143,,,6.394287614666975,157025.0,0.5758159149248259,,
