delta,epoch,epoch_time_seconds,epsilon,lr,total_steps,train_loss,val_loss
1e-05,1,634.2274580001831,2.5454189699686065,0.001,76,0.5176661822356676,0.39843136072158813
1e-05,2,660.4099750518799,3.811623999384965,0.001,152,0.4993863878281493,0.4009227454662323
1e-05,3,565.3874917030334,5.0778290288013235,0.001,228,0.49360968839181096,0.40481919050216675
1e-05,4,583.24396443367,6.344034058217682,0.0005,304,0.4885546882685862,0.40839967131614685
1e-05,5,611.9872345924377,7.6102390876340404,0.0005,380,0.48559247427865077,0.410084068775177
1e-05,6,560.9388544559479,8.876444117050399,0.0005,456,0.49049688483539383,0.41129380464553833
