epoch,training_loss,validation_loss,validation_mae,validation_r2,validation_rmse,epsilon
# Training Arguments
# device,cpu
# data,US
# train_val_ratio,"[0.7, 0.1]"
# h_layers,2
# in_channels,2
# hidden_channels,"[128, 64, 32]"
# out_channels,2
# emb_size,16
# dropout,0
# wemb_size,4
# time_d,4
# heads,4
# support_len,3
# order,2
# num_weather,8
# use_se,False
# use_cov,True
# decay,1e-05
# lr,0.0005
# in_len,12
# out_len,12
# batch,32
# episode,25
# period,36
# dp,False
# target_epsilon,1.0
# target_delta,1e-05
# noise_multiplier,1.5
# max_grad_norm,1.5
# use_simple_cnn,False
# use_enhanced_cnn,True
# Start of Training Data
epoch,training_loss,validation_loss,validation_mae,validation_r2,validation_rmse,epsilon
1,1.1250536976689878,1.0765955592256438,8.19844289544439,-0.35299871829776847,11.404394994086914,No DP
2,1.1187093383678492,1.078978661450131,8.23500290762007,-0.35777291352949847,11.424358705350139,No DP
3,1.116243716944819,1.0997471823555338,8.439444791375374,-0.4113968029740298,11.64793695165293,No DP
4,1.1143561979653178,1.0870443870140272,8.294356758615496,-0.3796843042091358,11.516228978945508,No DP
5,1.112483719535496,1.0738396964473829,8.138296226713907,-0.3457543430292374,11.373824578046664,No DP
6,1.1111478030163309,1.0728094455807002,8.072428053722565,-0.3444326277695035,11.368334181023966,No DP
7,1.1100067492498868,1.0803459488983391,8.241785292324414,-0.3628022531744876,11.445493820202698,No DP
8,1.109242592272551,1.1509475656714632,9.160016947604424,-0.5467991690548327,12.191457864420963,No DP
9,1.1085699893426204,1.0736644681336178,8.133927182267435,-0.34665708390608563,11.377698462917591,No DP
10,1.1080172910552093,1.080127898977296,8.19973138065947,-0.36226765008628087,11.443425249035586,No DP
11,1.1076183855360833,1.0858627816569142,8.333730253742518,-0.376222727243027,11.501919287950917,No DP
12,1.1073935325594917,1.0738489459108576,8.126925497525418,-0.34494652858140623,11.370474623450434,No DP
13,1.107082800174105,1.0853447217006036,8.19721072226691,-0.37546570511457206,11.498717998066931,No DP
14,1.1067793322300565,1.0779268652128722,8.147383667591223,-0.3558886648941227,11.416583835164152,No DP
15,1.1066553730895554,1.0705973650003853,8.042181941530842,-0.3380465509084905,11.3413487581125,No DP
16,1.1064448178332784,1.0889544209092004,8.362057449776886,-0.3843566419042653,11.535732335377219,No DP
17,1.1062893102480018,1.0688007623279232,8.003819549983456,-0.3344382791496259,11.326058556835514,No DP
18,1.1061737607873003,1.0754700509311133,8.161055054424159,-0.35098294387177914,11.39596895444479,No DP
19,1.1059542977291605,1.0920851460266283,8.353013001997558,-0.3912554916704138,11.564595073492251,No DP
20,1.105859151577604,1.0771154237623908,8.181747536116886,-0.3543069178822984,11.40996141422756,No DP
21,1.105713318188985,1.0920861751481359,8.333183396195755,-0.39262116906851957,11.570251422632117,No DP
22,1.10565158235854,1.1088763045525178,8.484091053793227,-0.4342354955335861,11.74155595129382,No DP
23,1.1056025217581487,1.0808394362697065,8.201712719862975,-0.36389554283335174,11.450330698379078,No DP
24,1.105486099616341,1.0842196863488895,8.230148258776751,-0.3717375427893852,11.483028207579219,No DP
