epoch,training_loss,validation_loss,validation_mae,validation_r2,validation_rmse,epsilon,learning_rate,epoch_time
1,0.9500767273996933,0.884402144920482,7.001170153594614,0.09039013543788477,9.34626935946167,2.746443835064573,0.0005,765.5897972583771
2,0.9222321805572289,0.8481157187647569,6.484466443010827,0.16161899246476663,8.976157299524052,3.1131400852166236,0.0005,789.0084707736969
3,0.9171926831424652,0.8432353786187508,6.394963945628412,0.17119644666909883,8.925033527923178,3.36406120239023,0.0005,727.3990621566772
4,0.9134293626604943,0.8384566104319645,6.2929143151063185,0.1805897185480053,8.874517706497107,3.5676427069490173,0.0005,725.8904123306274
5,0.9067369415975779,0.8340029422370394,6.105301958136987,0.18835797528825174,8.83280647133076,3.745026528507941,0.0005,726.9392278194427
6,0.9023537140019808,0.8361632169861343,6.1042060726622696,0.18359626881866709,8.858745773762456,3.905570026340293,0.0005,725.570999622345
7,0.9008317727362197,0.8357795411679437,6.146755393129723,0.18482068419049055,8.851871240504861,4.054159059025794,0.0005,719.8843920230865
8,0.8998213666912575,0.8345535596641088,6.1495605421050845,0.18750399119879713,8.837241512984766,4.19375132160565,0.0005,715.9559259414673
9,0.8993305213351814,0.8349118008082622,6.16709875938085,0.18692898913738673,8.840301968379801,4.3262458487799025,0.0005,707.900096654892
10,0.8978529829713419,0.8367227257714879,6.233067504044658,0.1841422238689149,8.855089338807163,4.452938560967946,0.00025,710.7555043697357
11,0.8975820531009798,0.8365684270449631,6.2318461038825665,0.18453869609536092,8.852924217278705,4.5747575740184905,0.00025,710.539449930191
