epoch,training_loss,validation_loss,validation_mae,validation_r2,validation_rmse,epsilon,learning_rate,epoch_time
1,0.9519669806321093,0.9043069967960514,7.262807010740854,0.049731413240530015,9.551943842940863,1.7741141810310863,0.0005,675.436297416687
2,0.9235972164678463,0.8503816535167686,6.5218586270403,0.15723965958465183,8.999320117792635,2.049268816296402,0.0005,672.838965177536
3,0.9179307124177707,0.8451876095415025,6.431299081581995,0.16742503285482102,8.945156167350056,2.2319991335962515,0.0005,628.3413226604462
4,0.9146346079915969,0.8412404078547467,6.354160198318074,0.1752527162420705,8.90321674364622,2.3764393976795395,0.0005,629.6577279567719
5,0.9092780781732634,0.8346274288209493,6.176881294029566,0.18779740161646874,8.835629686587687,2.4997613910701264,0.0005,651.3468201160431
6,0.9034723693422818,0.8366134282941662,6.111035418301252,0.18283437326085708,8.862903539353633,2.6096765226361316,0.0005,647.4839873313904
7,0.9012957841780236,0.8362819935339931,6.143573333060684,0.18375709544820765,8.857708104644978,2.7102443616346528,0.0005,592.6018464565277
8,0.9001734128131114,0.8348056223426733,6.143743166210789,0.18690525392904858,8.840553669286214,2.8039203597543394,0.0005,588.7835876941681
9,0.8996706309700233,0.8351262151717654,6.163173641959848,0.18643537484743578,8.843031017527311,2.8922792502403865,0.0005,588.9153306484222
10,0.8981481468317957,0.8366829092929607,6.226879963093881,0.18415800654365397,8.85503970041019,2.9763887968090854,0.00025,581.8414192199707
11,0.897906840469887,0.836504448455732,6.225847133846552,0.18460991785155048,8.852568896410315,3.057012365848095,0.00025,600.7646715641022
