delta,epoch,epoch_time_seconds,epsilon,stage,total_steps,train_loss,val_accuracy,val_f1,val_precision,val_recall
1e-05,0,385.56530022621155,3.553157609067398,1,398,0.7849034357011019,0.6472313898032739,0.2401263774083018,0.2096551724109013,0.2809611829892613
1e-05,1,383.2350296974182,5.827101277582548,1,796,0.7848685034854928,0.6596993032612406,0.11954458703162096,0.12280701754146575,0.11645101663370701
1e-05,2,423.2703559398651,8.1010449460977,1,1194,0.7848422588715002,0.2651265126502929,0.32388663668975304,0.19810152703178663,0.8872458410187201
