epoch,train_loss,val_loss,val_mae,val_r2,val_rmse,epsilon,lr,epoch_time
1,0.9469380808816985,0.8750684063498547,6.855236967378372,0.10913071298958833,9.251691603711036,2.4754821194591594,0.0005,1147.4359953403473
2,0.9229444956834798,0.8623125002998492,6.669636273596731,0.13475928448009175,9.11821021917771,2.816529696160136,0.0005,965.4265065193176
3,0.9172874034280843,0.854709154203036,6.535146352396556,0.15004480692711183,9.037770324810676,3.0471283608371165,0.0005,963.8096840381622
4,0.9095267208850577,0.850059654383249,6.323370169361676,0.15807451842883477,8.996138333946357,3.232546260514196,0.0005,1025.8961865901947
5,0.9045553378190353,0.8470184264241232,6.2759017542714615,0.16382310937376662,8.965375576049869,3.393066694686989,0.0005,978.6722643375397
6,0.9028739725215805,0.8454410314211416,6.277300452150139,0.16724180812617093,8.946798290660153,3.537690904995643,0.0005,963.4093825817108
7,0.9020380399205016,0.84476100237742,6.303810796580698,0.1689781795897566,8.937222028637926,3.671120095744156,0.0005,966.2856690883636
8,0.9014589953173617,0.8447242166136216,6.312109368337905,0.16915027529257073,8.936234700407384,3.7961937234252736,0.0005,964.8320369720459
9,0.9011008933774279,0.8458625213291012,6.342164335324459,0.16705420126305573,8.947371506988818,3.9147291153187904,0.0005,965.9949803352356
10,0.9004896932439295,0.8460269309338824,6.366380062597382,0.1668311240634317,8.948479204528928,4.027960884461502,0.0005,976.3099341392517
11,0.8999591664759024,0.845224174744628,6.3532321370913705,0.16833962654393905,8.94048019886817,4.136770278129294,0.0005,999.3618214130402
12,0.8986805614490243,0.8478820469868263,6.421450996941593,0.1637224895067263,8.965078817917407,4.241863559686419,0.00025,1010.6612832546234
13,0.8981801363404002,0.8480995720202911,6.422899379049597,0.16321785126590513,8.967732223575197,4.343687206943067,0.00025,1024.3426396846771
14,0.8978203214929718,0.8482470062873984,6.427187605443927,0.1628964813958321,8.969535378561776,4.442675697225838,0.00025,971.2200284004211
