epoch,epsilon,mae,rmse,samples_used,stage,train_loss,val_accuracy,val_f1,val_precision,val_recall
1,manual,,,,1,0.03505175347409249,0.42063129251699916,0.5791297040635863,0.9578768869959783,0.4150269147228177
1,,6.829357624053955,9.903654098510742,55222,2,0.7774783105012145,,,,
