delta,epoch,epoch_time_seconds,epsilon,stage,total_steps,train_loss,train_nondelayed,train_nondelayed_ratio,val_accuracy,val_f1,val_loss,val_mae,val_nondelayed,val_nondelayed_ratio,val_precision,val_recall,val_rmse
1e-05,0,579.2132151126862,4.773310421580577,1,151,0.26559273661761884,,,0.3542940960762483,0.27534285955045934,,,,,0.17155105296274523,0.7380268886653059,
1e-05,1,528.0026671886444,8.267406902608906,1,302,0.26586078265250124,,,0.6341070773743576,0.12699504000674994,,,,,0.21774559995454468,0.2764015318680295,
1e-05,2,527.753900051117,11.761503383637235,1,453,0.2658523062601784,,,0.6188265493215535,0.2573120467903657,,,,,0.19428039957862483,0.40024931072501907,
1e-05,3,528.5165376663208,15.255599864665564,1,604,0.2654386354203256,,,0.5914741474146981,0.28825893961830057,,,,,0.20737539377069536,0.4804921034017023,
1e-05,4,528.8837957382202,18.74969634569389,1,755,0.26539686075504254,,,0.5753465346534231,0.2980176787402895,,,,,0.21067986518517473,0.5287492218511782,
1e-05,5,526.9123611450195,22.24379282672222,1,906,0.26430663900659573,,,0.6521195452878142,0.2696572259715778,,,,,0.20916026154161166,0.38933922401677334,
1e-05,6,526.8699259757996,25.73788930775055,1,1057,0.2609472918194651,,,0.49398239823978773,0.31997085127983377,,,,,0.20769179340164745,0.7079311012614924,
1e-05,0,393.194132566452,29.23198578877888,2,1208,0.29577752257025003,,,,,363.9455407234933,14.92567442951246,,,,,19.07735675410756
1e-05,1,393.7850880622864,32.72608226980721,2,1359,0.27194132729871384,,,,,350.39338391821394,14.59724107520227,,,,,18.71879760877322
1e-05,2,395.76012539863586,36.22017875083554,2,1510,0.2696393903912298,,,,,345.0381897233181,14.453342347892644,,,,,18.575203625352753
1e-05,3,392.4739978313446,39.714275231863866,2,1661,0.2677628504519431,,,,,343.82908372971525,14.411791954325503,,,,,18.54262882467627
1e-05,4,392.94628071784973,43.208371712892195,2,1812,0.2644949174479933,,,,,324.7220745289864,13.905271091434079,,,,,18.020046463008534
1e-05,5,392.413813829422,46.702468193920524,2,1963,0.2646164283255078,,,,,340.8436595942659,14.290915548251512,,,,,18.46195167348961
1e-05,6,393.3041350841522,50.19656467494885,2,2114,0.2664435375605198,,,,,337.5620397214968,14.233646085240718,,,,,18.37286150063448
,0,212.2863781452179,50.19656467494885,3,,0.0042796311668730925,260764.0,0.1357650856458583,,,9.072366990278644,2.393917805484661,39918.0,0.18714486638537273,,,3.012037016751063
,1,211.89194774627686,50.19656467494885,3,,0.0031127004763913274,260764.0,0.1357650856458583,,,8.87474851961751,2.3803344229785446,39918.0,0.18714486638537273,,,2.979051614124453
,2,212.88261723518372,50.19656467494885,3,,0.0027877251102607576,260764.0,0.1357650856458583,,,8.626438622229077,2.3574482593150856,39918.0,0.18714486638537273,,,2.937079948218822
,3,346.1391317844391,50.19656467494885,3,,0.024678491031294627,260764.0,0.1357650856458583,,,7.727963401183033,2.2258099679898646,39918.0,0.18714486638537273,,,2.779921473923865
,4,344.71427750587463,50.19656467494885,3,,0.024350665966110515,260764.0,0.1357650856458583,,,8.086913508524413,2.257569997243612,39918.0,0.18714486638537273,,,2.8437499025976973
,5,346.3586676120758,50.19656467494885,3,,0.024129264315725953,260764.0,0.1357650856458583,,,8.115811755634217,2.261590375143215,39918.0,0.18714486638537273,,,2.848826382150063
,6,345.6733260154724,50.19656467494885,3,,0.02398718369273555,260764.0,0.1357650856458583,,,7.950092240516635,2.2482787615033994,39918.0,0.18714486638537273,,,2.8195907930968698
