epoch,training_loss,validation_loss,validation_mae,,
1,0.951401748,0.962714959,8.036484059,,no dropout new arch 
2,0.934017135,0.953730515,7.921592258,,
3,0.930928132,0.940399747,7.725822541,,
4,0.930382295,0.944580444,7.785673725,,
5,0.928446239,0.934478007,7.646958729,,
6,0.927976738,0.932066804,7.613291921,,
7,0.927537786,0.937526042,7.68798264,,
8,0.927368575,0.935342879,7.645827151,,
9,0.926052125,0.933089681,7.610039648,,
10,0.927624042,0.929260727,7.558484763,,
11,0.926974269,0.930453034,7.591071243,,
12,0.925586381,0.929191435,7.555902861,,
13,0.925782573,0.92485954,7.5173408,,
14,0.925881131,0.931404766,7.607575568,,
15,0.925562504,0.929806118,7.573279684,,
16,0.92478265,0.924400392,7.503801613,,
17,0.925240104,0.930948243,7.575033049,,
18,0.925136132,0.933681971,7.617431986,,
19,0.925119896,0.928191771,7.564569733,,
20,0.925419109,0.931996519,7.600423018,,
21,0.925017639,0.927872824,7.565430136,,
22,0.925239414,0.928746176,7.561838295,,
23,0.925969275,0.929981697,7.581178257,,
24,0.926276377,0.928480153,7.555023899,,
25,0.925508691,0.935524218,7.668441901,,
26,0.924803655,0.930073918,7.588618426,,
27,0.925230164,0.926707582,7.540314521,,
28,0.924205758,0.931208748,7.598391058,,
29,0.926216173,0.926908847,7.549514382,,
30,0.923760896,0.926678138,7.534974052,,
31,0.924018176,0.924956186,7.51899506,,
32,0.925215797,0.928797977,7.58393631,,
33,0.924370168,0.927940815,7.549437841,,
34,0.924536106,0.924629968,7.495441939,,
35,0.924834062,0.932057166,7.602809756,,
36,0.924757945,0.929978203,7.602466332,,
37,0.923600717,0.931943482,7.613508573,,
38,0.924476471,0.931808809,7.599080624,,
39,0.925112351,0.926828176,7.519209083,,
40,0.924681662,0.92936895,7.561328458,,
41,0.923061075,0.927140729,7.543507357,,
42,0.923987194,0.923176507,7.493486186,,
43,0.923460375,0.927115581,7.535933165,,
44,0.923269944,0.931451524,7.611213581,,
45,0.923771908,0.926163124,7.526549971,,
46,0.924143532,0.930350985,7.605164154,,
47,0.924012572,0.926289107,7.521950539,,
48,0.924871658,0.929475446,7.590634874,,
49,0.923653981,0.926073993,7.528738837,,
50,0.923463759,0.928324367,7.550140295,,
,,,,,
,,,,,
,,,,,
"3 step ahead arrival delay, Test MAE: 10.0643 min, Test R2: -0.0870, Test RMSE: 12.6043 min",,,,,
"6 step ahead arrival delay, Test MAE: 10.0642 min, Test R2: -0.0868, Test RMSE: 12.6043 min",,,,,
"12 step ahead arrival delay, Test MAE: 10.3593 min, Test R2: -0.1378, Test RMSE: 12.8996 min",,,,,
"3 step ahead departure delay, Test MAE: 6.6677 min, Test R2: -0.0166, Test RMSE: 9.0168 min",,,,,
"6 step ahead departure delay, Test MAE: 6.6687 min, Test R2: -0.0166, Test RMSE: 9.0183 min",,,,,
"12 step ahead departure delay, Test MAE: 6.8331 min, Test R2: -0.0151, Test RMSE: 9.0138 min",,,,,
