delta,epoch,epoch_time_seconds,epsilon,stage,total_steps,train_loss,train_nondelayed,train_nondelayed_ratio,val_accuracy,val_f1,val_loss,val_nondelayed,val_nondelayed_ratio,val_precision,val_recall
1e-05,0,592.6231818199158,2.537088673722446,1,151,0.26556069625923967,,,0.6247011367802988,0.12334057967100856,,,,0.11024204113632255,0.2795693336826537
1e-05,1,612.430563211441,3.7949634068926446,1,302,0.2656411847334034,,,0.5966556655665128,0.24350972278541114,,,,0.17892962353794178,0.38684434436401177
1e-05,2,590.5252928733826,5.052838140062843,1,453,0.2654473383892451,,,0.4340300696736022,0.2959435935924314,,,,0.19254821992718155,0.7196701223053223
1e-05,3,546.3626911640167,6.310712873233042,1,604,0.2651507979789317,,,0.5844774477447316,0.31591610076456866,,,,0.22182240634562927,0.5609228003153324
1e-05,4,586.0034458637238,7.56858760640324,1,755,0.2625514161310449,,,0.6543270993765563,0.2884458815202732,,,,0.24902255375957227,0.4686462178294472
1e-05,5,542.6457688808441,8.826462339573439,1,906,0.2550887284886758,,,0.6697946461312305,0.380945286762961,,,,0.2822099081776427,0.6009890054651422
1e-05,6,540.2142298221588,10.084337072743637,1,1057,0.24700547596871458,,,0.6470920425375395,0.41096821840155956,,,,0.28732661220360844,0.7223460786874198
1e-05,7,539.679869890213,11.342211805913836,1,1208,0.24153250061123577,,,0.6716868353501524,0.4243817995372847,,,,0.302899953034046,0.7114807406871979
1e-05,8,537.4151875972748,12.600086539084034,1,1359,0.2380157530998552,,,0.6651338467179564,0.4215179030485086,,,,0.3006152756812227,0.7211518596825466
1e-05,9,541.903092622757,13.857961272254233,1,1510,0.2409745410380774,,,0.6578511184451294,0.42114683859541424,,,,0.29871684711612256,0.7369265362723978
1e-05,10,541.8246514797211,15.11583600542443,1,1661,0.24131536957443944,,,0.6439493949394467,0.42178231754178586,,,,0.29180880906149953,0.7631829631565239
1e-05,0,406.1745686531067,16.373710738594628,2,1812,0.8603473657014354,,,,,0.47066692357523965,,,,
1e-05,1,407.94978070259094,17.631585471764826,2,1963,0.6696901317463805,,,,,0.4659861915080657,,,,
1e-05,2,406.8353877067566,18.889460204935023,2,2114,0.6611800785885741,,,,,0.48275101865823644,,,,
1e-05,3,406.7832589149475,20.147334938105224,2,2265,0.6574547736850006,,,,,0.4620376314748466,,,,
1e-05,4,405.90173983573914,21.405209671275422,2,2416,0.6507221089293626,,,,,0.4891859521511992,,,,
1e-05,5,408.5308802127838,22.66308440444562,2,2567,0.6501324607047024,,,,,0.4876570482328947,,,,
1e-05,6,409.41522765159607,23.920959137615817,2,2718,0.6415314765165974,,,,,0.48419143328071385,,,,
1e-05,7,407.9272060394287,25.178833870786015,2,2869,0.6456759895709966,,,,,0.500107001171078,,,,
1e-05,8,409.3482985496521,26.436708603956216,2,3020,0.6538897697499256,,,,,0.49208804247050586,,,,
,0,218.73684072494507,26.436708603956216,3,,0.07451589229140455,1092057.0,0.5685723954808143,,,29.17378826853856,157025.0,0.5758159149248259,,
,1,216.43931531906128,26.436708603956216,3,,0.0363921294765954,1092057.0,0.5685723954808143,,,15.53841402823984,157025.0,0.5758159149248259,,
,2,216.9494161605835,26.436708603956216,3,,0.02466962577787456,1092057.0,0.5685723954808143,,,10.870755852866552,157025.0,0.5758159149248259,,
,3,218.69282174110413,26.436708603956216,3,,0.020114924240585984,1092057.0,0.5685723954808143,,,8.902977348861176,157025.0,0.5758159149248259,,
,4,219.81915545463562,26.436708603956216,3,,0.017730989622951342,1092057.0,0.5685723954808143,,,7.883464521168837,157025.0,0.5758159149248259,,
,5,217.1789345741272,26.436708603956216,3,,0.016149403595223728,1092057.0,0.5685723954808143,,,7.270559401050546,157025.0,0.5758159149248259,,
,6,218.7546317577362,26.436708603956216,3,,0.015166624461528876,1092057.0,0.5685723954808143,,,6.864241526016866,157025.0,0.5758159149248259,,
,7,220.904944896698,26.436708603956216,3,,0.014271343934861635,1092057.0,0.5685723954808143,,,6.571804945400969,157025.0,0.5758159149248259,,
,8,216.81539034843445,26.436708603956216,3,,0.013630939980611106,1092057.0,0.5685723954808143,,,6.3648300310299515,157025.0,0.5758159149248259,,
