delta,epoch,epoch_time_seconds,epsilon,stage,train_loss,val_accuracy,val_f1,val_loss,val_precision,val_recall
1e-05,1,74.23501873016357,1.1707283643313486,1,0.03311797388134494,0.9991106593812742,0.9995551268703543,,0.9999999999987284,0.9991106593812742
1e-05,2,75.02659201622009,1.4991542054141858,1,0.032218646020790324,0.997459026806,0.9987278922128326,,0.9999999999987262,0.997459026806
1e-05,3,76.03759431838989,1.7484322953884068,1,0.034254385405094234,0.999872951339093,0.9999364666333144,,0.9999999999987293,0.999872951339093
1e-05,4,74.57838177680969,1.93709356684459,1,0.03294474438456048,0.9954262482518162,0.997707877336716,,0.9999999999987237,0.9954262482518162
1e-05,5,78.52747774124146,2.104946975658262,1,0.03189938766983054,0.9106847922742844,0.9532548656792502,,0.9999999999986049,0.9106847922742844
1e-05,6,75.99057602882385,2.238484433121279,1,0.0323029232363196,0.8444924406036787,0.9156908615448174,,0.9999999999984955,0.8444924406036787
1e-05,7,74.07937288284302,2.3614694888118724,1,0.03345158549560474,0.3235929360941131,0.48896140924400744,,0.9999999999960738,0.3235929360941131
1e-05,8,77.98306965827942,2.4739747648931822,1,0.035074393309386186,0.5816287638158028,0.7354807568556189,,0.9999999999978156,0.5816287638158028
1e-05,1,83.75725293159485,2.58990363785289,2,0.19851238255588605,,,0.30255146149243944,,
1e-05,2,81.20483112335205,2.6838186492603278,2,0.21870952838090893,,,0.33773264189309576,,
1e-05,3,81.62510585784912,2.775106021053112,2,0.20944486998021603,,,0.37525742805927703,,
1e-05,4,80.8440728187561,2.864605111503211,2,0.21420610158180015,,,0.37501281079235227,,
1e-05,5,81.67860817909241,2.9494514620919725,2,0.21775007849674702,,,0.3526142219292373,,
1e-05,6,81.988520860672,3.0303552858283713,2,0.23081183439319575,,,0.37379480556922945,,
