delta,epoch,epsilon,stage,target_epsilon,train_loss,val_accuracy,val_f1,val_loss
0.0,1,0.0,1,0.0,0.7714271522515868,0.6995362532204121,0.4689800926335482,
0.0,2,0.0,1,0.0,0.7454510838405455,0.7022856091276626,0.47010743953725553,
0.0,3,0.0,1,0.0,0.7398016162953971,0.6943246227456242,0.4703013350784977,
0.0,4,0.0,1,0.0,0.7373950637461631,0.7057048214942432,0.47187167742904035,
0.0,5,0.0,1,0.0,0.7356301508416618,0.7196871549502598,0.474639050637218,
0.0,6,0.0,1,0.0,0.7345563922048601,0.7166728008832743,0.47275070289826593,
0.0,7,0.0,1,0.0,0.7337392385115971,0.6810342289289155,0.46824571801486936,
0.0,8,0.0,1,0.0,0.7331211911372802,0.7124291497975184,0.46947407417377496,
0.0,9,0.0,1,0.0,0.7325067833268697,0.6995215311004269,0.4703204257785504,
0.0,10,0.0,1,0.0,0.732302618661891,0.7155907250643565,0.47297556501567495,
0.0,1,0.0,2,0.0,0.1638253954368119,,,0.14291083704751978
0.0,2,0.0,2,0.0,0.16057579054589843,,,0.14059064890879114
0.0,3,0.0,2,0.0,0.15994234239122618,,,0.1408531512452323
0.0,4,0.0,2,0.0,0.15961626337314008,,,0.13813459947511517
0.0,5,0.0,2,0.0,0.15930548554624707,,,0.14310213911198885
0.0,6,0.0,2,0.0,0.15911969496396802,,,0.140582071881674
0.0,7,0.0,2,0.0,0.159047480430141,,,0.13929507374563324
0.0,8,0.0,2,0.0,0.15900901357836328,,,0.139319728664128
0.0,9,0.0,2,0.0,0.15906678775320945,,,0.140722059203885
0.0,1,0.0,3,0.0,0.006911200251899536,,,0.011324243222080147
0.0,2,0.0,3,0.0,0.006518502584715699,,,0.011080678688796222
0.0,3,0.0,3,0.0,0.006423572358439551,,,0.010947086615823642
0.0,4,0.0,3,0.0,0.006379079155614721,,,0.010879808774669812
0.0,5,0.0,3,0.0,0.006350069209131136,,,0.010828419146337646
0.0,6,0.0,3,0.0,0.00633167339744487,,,0.010799087575386215
0.0,7,0.0,3,0.0,0.006314202832782462,,,0.010773730663162678
0.0,8,0.0,3,0.0,0.006302370443486425,,,0.010757649524597832
0.0,9,0.0,3,0.0,0.006295425582831891,,,0.010744154360964733
0.0,10,0.0,3,0.0,0.006282009941479303,,,0.01072727234687589
0.0,11,0.0,3,0.0,0.006277235621692269,,,0.010721041742668577
0.0,12,0.0,3,0.0,0.006271286723165452,,,0.01070788929166375
0.0,13,0.0,3,0.0,0.0062643231230288116,,,0.01071622738245098
0.0,14,0.0,3,0.0,0.006260177513037228,,,0.010693002536441206
