delta,epoch,epsilon,stage,target_epsilon,train_loss,val_accuracy,val_f1,val_loss
0.0,1,0.0,1,0.0,0.7698383568827074,0.7112476996686998,0.4650989555977736,
0.0,2,0.0,1,0.0,0.7512273936788061,0.6968384247331102,0.46609908306808145,
0.0,3,0.0,1,0.0,0.7475101333613331,0.7153625322045848,0.47033122094315594,
0.0,4,0.0,1,0.0,0.7455950712610735,0.6932609495766879,0.46876305636856364,
0.0,5,0.0,1,0.0,0.7443688574171792,0.6863305115936189,0.4687210608337196,
0.0,6,0.0,1,0.0,0.7434242555588905,0.7142988590356485,0.4716238265467997,
0.0,7,0.0,1,0.0,0.7430299385034679,0.7066580787632899,0.4697299292061188,
0.0,8,0.0,1,0.0,0.7426689395938882,0.7008649245490834,0.46879887286599387,
0.0,9,0.0,1,0.0,0.7424682219303841,0.7325506072873954,0.47367745614827605,
0.0,10,0.0,1,0.0,0.7420496705389875,0.7212513801986955,0.4733372676559967,
0.0,1,0.0,2,0.0,0.16545546689798876,,,0.1450970740239057
0.0,2,0.0,2,0.0,0.16242366756426077,,,0.14352066725480528
0.0,3,0.0,2,0.0,0.16175156976718622,,,0.14488001776249793
0.0,4,0.0,2,0.0,0.16176677161664224,,,0.1452403423076464
0.0,5,0.0,2,0.0,0.16168555804143495,,,0.14643022835626496
0.0,6,0.0,2,0.0,0.1616127171550442,,,0.14272725753016
0.0,7,0.0,2,0.0,0.1616820822879533,,,0.14371152907266724
0.0,8,0.0,2,0.0,0.16149410353235705,,,0.14456564805635055
0.0,9,0.0,2,0.0,0.16159025354126544,,,0.14317114415026394
0.0,10,0.0,2,0.0,0.161558635131411,,,0.14448764895946034
0.0,1,0.0,3,0.0,0.007736852044705674,,,0.011478487511614111
0.0,2,0.0,3,0.0,0.006780834985182989,,,0.011220347044316186
0.0,3,0.0,3,0.0,0.006644090694763118,,,0.011081440819520493
0.0,4,0.0,3,0.0,0.0065613567871239085,,,0.010972952432234664
0.0,5,0.0,3,0.0,0.006509625125243151,,,0.010937705685421514
0.0,6,0.0,3,0.0,0.006469024285627144,,,0.010869732880408833
0.0,7,0.0,3,0.0,0.0064439395041160025,,,0.010840068707114792
0.0,8,0.0,3,0.0,0.006421787069020378,,,0.010835840444639328
0.0,9,0.0,3,0.0,0.006400516797218568,,,0.010788092929312341
0.0,10,0.0,3,0.0,0.0063800063834379825,,,0.01073831511402326
0.0,11,0.0,3,0.0,0.0063691459623545265,,,0.010745297085057642
0.0,12,0.0,3,0.0,0.006357971310978728,,,0.010723436703195366
0.0,13,0.0,3,0.0,0.006352129711823676,,,0.010725839412538225
0.0,14,0.0,3,0.0,0.00633853573204165,,,0.01070385096812004
