epoch,stage,train_loss,val_score
1,1,0.8334654217213392,0.4249415814416184
2,1,0.780145239358147,0.45427278506277013
3,1,0.7634684535115958,0.47017986214416235
4,1,0.7557263395686944,0.4717365813424782
5,1,0.750307756041487,0.46604606536744814
6,1,0.7443572704493999,0.46763754831047544
7,1,0.7424459505081177,0.4672605314291928
8,1,0.7387669304758311,0.4779133797758844
9,1,0.7384130728741487,0.46824192429726036
10,1,0.734676399876674,0.4768723842300018
1,2,0.17621055414279302,0.1231233771013863
2,2,0.1670174764903883,0.1247054894838263
3,2,0.1661793614986042,0.12213843690560144
4,2,0.16560845517242948,0.1237867455710383
5,2,0.16529378675545256,0.12776794676833292
6,2,0.16487176357458036,0.12503082327106418
7,2,0.1645747149673601,0.12693793883218485
8,2,0.163993060272187,0.12166187118958025
9,2,0.16415927125761906,0.12340647074229577
10,2,0.16398676425218583,0.12360570853685632
1,3,0.011306549136255247,0.009845060432631085
2,3,0.00744332596543245,0.009400914733380299
3,3,0.007121648415535068,0.009275896806160316
4,3,0.006978201514381605,0.009183269798728255
5,3,0.006863162230777865,0.009094332752283663
6,3,0.006801769201216909,0.009097445004290956
7,3,0.006756758010790994,0.009014415002071901
8,3,0.0067062040430028,0.008978626308003989
9,3,0.00668142282103266,0.008967130153220804
10,3,0.006653432867800196,0.008916554889669094
11,3,0.006657696283946279,0.008917139981435064
12,3,0.006628230581215273,0.008894562111783992
13,3,0.006593012756008344,0.00889431855723481
