delta,epoch,epoch_time_seconds,epsilon,model,stage,train_loss,train_masked_ratio,train_nondelayed,train_nondelayed_ratio,val_accuracy,val_f1,val_loss,val_masked_ratio,val_nondelayed,val_nondelayed_ratio,val_precision,val_recall
1e-05,1,583.4878575801849,6.87037912226213,,1,0.2576203950129054,,,,0.7956937799042476,0.41911935580541004,,,,,0.4081560184131052,0.43068874769594223
1e-05,2,644.336311340332,7.546635814127043,,1,0.24244452926294743,,,,0.7804416635995008,0.4406504054939101,,,,,0.3906801512256165,0.5052794205185082
1e-05,3,637.5598104000092,8.043154955374868,,1,0.24371010785493638,,,,0.776315789473627,0.4375532675503786,,,,,0.38765673079467966,0.5086595097481517
1e-05,4,533.3538129329681,8.448294530484533,,1,0.24283404251231167,,,,0.7594736842104703,0.4520433538828193,,,,,0.37076170663353164,0.5791678036863539
1e-05,5,648.3648383617401,8.795571444071637,,1,0.24336447118997384,,,,0.8031174089068234,0.4133316399275373,,,,,0.42308631576281647,0.40634766012530077
1e-05,6,715.9823818206787,9.14284835765874,,1,0.24508018407321797,,,,0.7961648877437764,0.4268227079610293,,,,,0.41202889827633526,0.44408780998689895
1e-05,7,744.0586247444153,9.442202425464515,,1,0.24114946756292324,,,,0.795734265734207,0.42631030002493187,,,,,0.4109623941049742,0.4440139940388905
1e-05,8,749.6942477226257,9.698966725143267,,1,0.24154363460709616,,,,0.8007876334191534,0.4213275534759286,,,,,0.41920619093217293,0.4237310039253478
1e-05,9,749.488876581192,9.955731024822018,,1,0.24349971801622863,,,,0.8137799043061601,0.3928989324759876,,,,,0.4449417249811375,0.3517648731411526
1e-05,1,190.52061700820923,10.21249532450077,,2,0.1778053797694024,0.23308774279973207,,,,,0.15499122772388652,0.17161943319838058,,,,
1e-05,2,196.85922193527222,10.469259624179521,,2,0.1744451528898507,0.23288305488763503,,,,,0.15390957801373897,0.17161943319838058,,,,
1e-05,3,187.04745316505432,10.715362857208994,,2,0.17344488659920804,0.23329959566866698,,,,,0.15681238502342992,0.17161943319838058,,,,
1e-05,4,190.91120600700378,10.914066349454078,,2,0.17302994632775004,0.23303574034768756,,,,,0.1578046607478076,0.17161943319838058,,,,
1e-05,5,189.50844502449036,11.112769841699162,,2,0.1720383861617633,0.23345151943154185,,,,,0.15833321115755775,0.17161943319838058,,,,
1e-05,6,200.10606384277344,11.311473333944248,,2,0.17232245018531336,0.2334693750227458,,,,,0.16545111348608832,0.17161943319838058,,,,
1e-05,7,197.2446620464325,11.510176826189332,,2,0.17275903757018674,0.23345022420308553,,,,,0.16047640871323182,0.17161943319838058,,,,
,1,473.2171492576599,,KAN-GAT,3,0.010917707936217387,,1091074.0,0.5683565140386518,,,4.95591597192797,,156090.0,0.5744939271255061,,
,2,472.4828677177429,,KAN-GAT,3,0.010880571802457174,,1091074.0,0.5683565140386518,,,4.932645453460825,,156090.0,0.5744939271255061,,
,3,454.3889248371124,,KAN-GAT,3,0.01082359227972726,,1091074.0,0.5683565140386518,,,4.909971189761674,,156090.0,0.5744939271255061,,
,4,435.3761479854584,,KAN-GAT,3,0.010769776484618585,,1091074.0,0.5683565140386518,,,4.8877838404209735,,156090.0,0.5744939271255061,,
,5,434.32942271232605,,KAN-GAT,3,0.010730917224039634,,1091074.0,0.5683565140386518,,,4.866064425081595,,156090.0,0.5744939271255061,,
,6,433.3933119773865,,KAN-GAT,3,0.010674491313596567,,1091074.0,0.5683565140386518,,,4.844791680356162,,156090.0,0.5744939271255061,,
,7,428.16806149482727,,KAN-GAT,3,0.010626660337050757,,1091074.0,0.5683565140386518,,,4.823929333221664,,156090.0,0.5744939271255061,,
,8,431.64949131011963,,KAN-GAT,3,0.010589465529968341,,1091074.0,0.5683565140386518,,,4.803579747958079,,156090.0,0.5744939271255061,,
,9,395.2671389579773,,KAN-GAT,3,0.010534254641582568,,1091074.0,0.5683565140386518,,,4.783485287789963,,156090.0,0.5744939271255061,,
,10,396.98861837387085,,KAN-GAT,3,0.01050048158193628,,1091074.0,0.5683565140386518,,,4.763850804831591,,156090.0,0.5744939271255061,,
,11,396.37281489372253,,KAN-GAT,3,0.010461487326150138,,1091074.0,0.5683565140386518,,,4.744601583109173,,156090.0,0.5744939271255061,,
,12,395.7639605998993,,KAN-GAT,3,0.0104181925393641,,1091074.0,0.5683565140386518,,,4.72570528738756,,156090.0,0.5744939271255061,,
,13,396.2244436740875,,KAN-GAT,3,0.01037501676628987,,1091074.0,0.5683565140386518,,,4.707234954194238,,156090.0,0.5744939271255061,,
,14,326.4229009151459,,KAN-GAT,3,0.010331833145270745,,1091074.0,0.5683565140386518,,,4.6890879392488065,,156090.0,0.5744939271255061,,
,15,326.00014305114746,,KAN-GAT,3,0.010299303544064362,,1091074.0,0.5683565140386518,,,4.67131039515718,,156090.0,0.5744939271255061,,
