epoch,epoch_time_seconds,epsilon_approx,stage,train_loss,train_mask_ratio,val_accuracy,val_f1,val_loss,val_mask_ratio,val_precision,val_recall
1,899.1018829345703,0.794693372600481,1,0.9561108721247499,,0.7481339712918109,0.4151373257347469,,,0.3445432614735172,0.5230981526066005
2,882.5839519500732,1.1389109944930913,1,0.8802359122829825,,0.7880161943319257,0.4035351056446931,,,0.39041206453834987,0.4200069857684871
3,882.8714234828949,1.409014244590427,1,0.8489495848897171,,0.7761059992638368,0.42176951842274485,,,0.38211792152239454,0.480711228983672
4,884.5058317184448,1.6407530728149107,1,0.8345411765951102,,0.75213470739781,0.4436481709921325,,,0.3639205141222611,0.5818389345626281
5,880.5333313941956,1.847974921288459,1,0.8233543698789318,,0.7989988958409422,0.40126879139545946,,,0.41456905924774423,0.39726223327745014
6,877.1229596138,2.0377816013770906,1,0.8115495763292877,,0.7510011041589435,0.44811834859748184,,,0.36261056467518227,0.5934004737637304
1,61.13586115837097,2.214391914786295,2,0.2064422803290259,0.23331375838926174,,,0.16904587637294421,0.16924703256650406,,
2,58.553839683532715,2.38055464421408,2,0.14931144096372995,0.23319421140939606,,,0.16743663359772076,0.16924703256650406,,
3,60.32517337799072,2.5381791006432888,2,0.1460021562103091,0.23332686661073826,,,0.16767966611818833,0.16924703256650406,,
4,77.67637968063354,2.68865544177887,2,0.14435911524613393,0.23332162332214765,,,0.16774521497162906,0.16924703256650406,,
5,63.273147106170654,2.8330331243976437,2,0.14355175831709585,0.23322671979865775,,,0.16739008982073178,0.16924703256650406,,
6,65.61965084075928,2.9721274720227,2,0.1428659099875215,0.23315174077181208,,,0.1670127951286056,0.16924703256650406,,
7,73.35854315757751,3.1065868686509224,2,0.14227936960736418,0.2333719588926175,,,0.16706538064913315,0.16924703256650406,,
8,76.97066450119019,3.2369370215344357,2,0.1418525763341036,0.23326027684563763,,,0.1666564027016813,0.16924703256650406,,
9,82.88114428520203,3.3636111888253546,2,0.14170893127101356,0.23320574664429533,,,0.1664258986711502,0.16924703256650406,,
10,78.76642394065857,3.486971456085616,2,0.14121719455190448,0.23315069211409395,,,0.16740704869682138,0.16924703256650406,,
11,58.40440273284912,3.6073241027524823,2,0.14110125300874438,0.2334647651006712,,,0.16664696688001807,0.16924703256650406,,
12,59.276407957077026,3.7249309491629656,2,0.14068845170773656,0.233003355704698,,,0.16731955043294214,0.16924703256650406,,
13,59.816787242889404,3.840017899014521,2,0.14055968398453497,0.23325608221476515,,,0.16672207753766666,0.16924703256650406,,
14,61.762815952301025,3.952781480646661,2,0.14030658411582522,0.2330861996644296,,,0.16599176959557968,0.16924703256650406,,
15,63.36373043060303,4.063393931936501,2,0.14014887978573945,0.23323773070469805,,,0.1670841473070058,0.16924703256650406,,
16,59.31691336631775,4.172007206543605,2,0.13988113325965784,0.23326761744966448,,,0.1652981930158355,0.16924703256650406,,
17,55.400104999542236,4.278756168641605,2,0.13939938569348279,0.23325608221476518,,,0.1654229766943238,0.16924703256650406,,
18,54.92402362823486,4.383761168437873,2,0.13943015800047026,0.2332104656040269,,,0.1649714931845665,0.16924703256650406,,
19,55.686009645462036,4.487130139141891,2,0.13921041273017248,0.2332010276845638,,,0.16530529274181885,0.16924703256650406,,
20,54.21672606468201,4.588960319771485,2,0.13896640012470882,0.23322252516778524,,,0.16511733897707678,0.16924703256650406,,
1,63.82781195640564,2.214391914786295,3,0.015033502860077588,0.5639183095637583,,,0.009847008538517084,0.5717040462927385,,
2,64.56989359855652,2.38055464421408,3,0.013402264345870281,0.5642779991610738,,,0.009461574806747112,0.5717040462927385,,
3,68.11418795585632,2.5381791006432888,3,0.012994076084097415,0.5637227348993289,,,0.009410660290582613,0.5717040462927385,,
4,74.4927248954773,2.68865544177887,3,0.01284702298928108,0.5638805578859062,,,0.00938164997337894,0.5717040462927385,,
5,76.10205292701721,2.8330331243976437,3,0.01276564434448308,0.5639995805369127,,,0.00935873461209915,0.5717040462927385,,
6,75.45137214660645,2.9721274720227,3,0.012684709668724129,0.5637012374161074,,,0.009292071304199371,0.5717040462927385,,
7,81.76854181289673,3.1065868686509224,3,0.012614800354487865,0.564070364932886,,,0.009223325601355596,0.5717040462927385,,
8,80.55922102928162,3.2369370215344357,3,0.012570939458624256,0.5641359060402684,,,0.009179152844643051,0.5717040462927385,,
9,76.55596733093262,3.3636111888253546,3,0.012530189649031848,0.5640829488255032,,,0.009140716019001875,0.5717040462927385,,
10,73.92990779876709,3.486971456085616,3,0.012493641158105051,0.5639675964765101,,,0.009110406273975968,0.5717040462927385,,
11,69.68158459663391,3.6073241027524823,3,0.012469018913686384,0.5639419043624161,,,0.009070762390778824,0.5717040462927385,,
12,64.33054780960083,3.7249309491629656,3,0.012427735376467347,0.5641280411073825,,,0.009038020983677019,0.5717040462927385,,
13,64.20015478134155,3.840017899014521,3,0.012407321807479594,0.564080851510067,,,0.009007583118297836,0.5717040462927385,,
14,63.97810482978821,3.952781480646661,3,0.01236942904555104,0.563993812919463,,,0.008977997751737183,0.5717040462927385,,
15,64.78528761863708,4.063393931936501,3,0.012343120431073688,0.5643267617449664,,,0.008964841508052566,0.5717040462927385,,
16,64.66185784339905,4.172007206543605,3,0.01233499026020032,0.5639995805369127,,,0.008950681446797469,0.5717040462927385,,
17,63.894476890563965,4.278756168641605,3,0.01232240714148705,0.563993812919463,,,0.008926140758293595,0.5717040462927385,,
18,63.820842266082764,4.383761168437873,3,0.012305592198340461,0.5639345637583892,,,0.008885524891824885,0.5717040462927385,,
