metric,value
classification_f1_macro,0.580527
classification_f1_arrival,0.591775
classification_f1_departure,0.569279
regression_mae_delayed,8.94862
regression_rmse_delayed,11.018299
regression_mae_nondelayed,4.602167
regression_rmse_nondelayed,7.806276
regression_mae_overall,5.654734
regression_rmse_overall,8.693708
stage1_time_seconds,5307.75
stage2_time_seconds,1282.1
stage3_time_seconds,1384.05
total_time_seconds,7973.9
dp_enabled,1
epsilon_target,7.5
epsilon_approx_final,7.497717
delta,0.00001
noise_multiplier,0.507862
max_grad_norm,1
__cli_args__,
arg.batch_size,128
arg.checkpoint_dir,auto
arg.checkpoint_every,1
arg.chunk_size,200
arg.class_threshold,0.5
arg.classifier,TSiTPlus
arg.compile,FALSE
arg.compile_mode,reduce-overhead
arg.data_source,cdata
arg.delay_threshold,5
arg.delta,1.00E-05
arg.device,auto
arg.dp,TRUE
arg.dropout,0.15
arg.epsilon,7.5
arg.fused_adamw,FALSE
arg.gat_heads,2
arg.gat_hidden,64
arg.gru_dim,64
arg.gru_heads,4
arg.gru_layers,2
arg.horizons,[12]
arg.lr,0.0005
arg.max_grad_norm,1
arg.max_test_batches,0
arg.max_train_batches,0
arg.max_val_batches,0
arg.no_amp,FALSE
arg.no_cache_stage23_features,TRUE
arg.noise_multiplier,None
arg.num_workers,-1
arg.output_dir,auto
arg.patience,6
arg.period_hours,24
arg.regressor,deep_mlp
arg.resume_checkpoint,D:\flight delay\stpn paper\STPN-main\checkpoints\stacked_gru_three_stage_20260324_003536\checkpoint_stage1_epoch6.pt
arg.seed,42
arg.seq_len,18
arg.stage1_epochs,20
arg.stage1_lr,None
arg.stage2_epochs,20
arg.stage2_lr,None
arg.stage3_epochs,20
arg.stage3_lr,None
arg.start_stage,2
arg.weather_file,weather_cn.npy
