metric,value
precision_arrival,0.487308
recall_arrival,0.796644
f1_arrival,0.604713
accuracy_arrival,0.724857
precision_departure,0.448017
recall_departure,0.835051
f1_departure,0.583161
accuracy_departure,0.737185
precision,0.467663
recall,0.815848
f1,0.593937
accuracy,0.731021
