model,mode,regression_mae_overall,regression_rmse_overall,regression_mae_delayed,regression_rmse_delayed,regression_mae_nondelayed,regression_rmse_nondelayed,regression_mae_overall_arrival,regression_mae_overall_departure,regression_mae_delayed_arrival,regression_mae_delayed_departure,regression_mae_nondelayed_arrival,regression_mae_nondelayed_departure,num_delayed_samples,num_nondelayed_samples
CNN_deepDualReg_3stage,3stage,8.333985148458193,9.315534976115064,8.404118683381885,10.756547873057288,8.31157385271558,8.805477537179218,9.076433218956485,7.5915370779599005,7.864614383990495,9.051513078757704,9.511510336318596,7.179379988470921,132320,414080
LSTM,1stage_regression,4.146903389122864,7.4656753941826155,11.748965592827208,14.24147023812534,1.7176508997629372,2.955608590530598,4.327892623477378,3.965914154768351,11.583255706231672,11.947814150589089,1.723012781393724,1.7125917240764412,132320,414080
GRU,1stage_regression,4.154678333560651,7.473344547386411,11.817408107916512,14.304698998675885,1.7060394141664081,2.8827124846890864,4.336769716795053,3.9725869503262468,11.484566568417721,12.21681131464324,1.7705091834858568,1.6452092966975433,132320,414080
BILSTM,1stage_regression,4.157547822818326,7.511173732825324,11.989835848419716,14.420953502713857,1.6547262628599222,2.826815018873988,4.239033418227892,4.076062227408759,11.720069603120663,12.313549960550427,1.5531305717878756,1.7505863518206977,132320,414080
