metric,value
classification_f1_macro,0.574706
classification_f1_arrival,0.581195
classification_f1_departure,0.568217
regression_mae_delayed,9.190153
regression_rmse_delayed,11.352565
regression_mae_nondelayed,4.164622
regression_rmse_nondelayed,7.477854
regression_mae_overall,5.381639
regression_rmse_overall,8.578309
stage1_time_seconds,10980.84
stage2_time_seconds,2144.71
stage3_time_seconds,2584.51
total_time_seconds,15710.05
dp_enabled,1
epsilon_target,7.500000
epsilon_approx_final,7.494832
delta,0.000010000000
noise_multiplier,0.876965
max_grad_norm,1.000000
