epoch,training_loss,validation_loss,validation_mae
1,0.9232527123672375,0.9220267639039538,7.471909944195932
2,0.9196144955054574,0.9321474053815161,7.584780114918433
3,0.9193291922583097,0.9247871091833438,7.458998633382435
4,0.9187656858692999,0.9225397709895835,7.469421524135427
5,0.9180619573247606,0.9265475641806789,7.511566675924915
6,0.9194261641433273,0.9237024481253807,7.474979038722748
7,0.917869303813879,0.920982604152868,7.453455738937083
8,0.9179278235850127,0.9249899756034083,7.496024143161912
9,0.9177062652767568,0.9179804382685468,7.389554996599526
10,0.9177699148827705,0.9135372377387507,7.343654778427104
11,0.917710426993992,0.9139797129518303,7.381141490144361
12,0.9184895522352577,0.905329145067784,7.260847065509729
13,0.9177592219822649,0.9188570222618833,7.431237219059214
14,0.9187935917273812,0.9048231560786616,7.22859472211793
15,0.9190616683683533,0.9258696719411218,7.5408862231275195
16,0.9176127562661102,0.918723671427521,7.424788048665099
17,0.9172805499684984,0.8988413784590915,7.120401646837244
18,0.9183174358589061,0.9063087980008055,7.2592752931413145
19,0.9166577205105104,0.9200863115772656,7.455076472356432
20,0.9177439739738685,0.9222965515961531,7.494173574365686
21,0.9166678967683212,0.8928626153253003,7.041439224396274
22,0.9172326432794764,0.9112783096729762,7.331460961716034
23,0.9172609506137129,0.9148480465091804,7.351122229719153
24,0.9174468427464582,0.9299568465632769,7.578911162763433
25,0.917338739996371,0.9274704872357189,7.559180986961583
26,0.9179948516859524,0.9038143239709857,7.209147446108433
27,0.9169514826415242,0.9177678110745897,7.401000260657317
28,0.9165508100260858,0.9290592602327574,7.582535689935253
29,0.9175654674958492,0.921020983975346,7.48412826807208
30,0.9159227095134016,0.9124445386682697,7.341147037692916
31,0.9169151205256365,0.9190095377283568,7.441202904606469
32,0.9175794692315917,0.9052295324095356,7.238834315761829
33,0.9161639092279518,0.9173350909378442,7.425877656825825
34,0.9161181755687879,0.9060872880479379,7.271450725805288
35,0.917126186515974,0.9113754103291939,7.328530819135999
36,0.9156418268922446,0.907117098793378,7.290237796326864
37,0.9162132002305293,0.9230391007071607,7.488401044875985
38,0.9169571129480998,0.9070099800791025,7.27181344153001
39,0.9168075195948283,0.9082684931949632,7.303734344080749
40,0.9160572133548018,0.916933023324988,7.411045124610109
41,0.9157813382839811,0.9013977720774734,7.175512102059845
42,0.9166705985345702,0.9070458725687659,7.265697360676416
43,0.9160077553555586,0.9185786756018118,7.435348396673696
44,0.9157771769813869,0.8991981723627687,7.139453520423231
45,0.9169066780891971,0.9217568954306787,7.449757924221132
46,0.916258699202883,0.921818108825046,7.482271568063605
47,0.916813551204792,0.9122800575560985,7.33563955817423
48,0.9168949270593947,0.9285281299105196,7.57390288097309
49,0.9168781264968541,0.9098695177914939,7.328115491814284
50,0.9161492292777351,0.8954697353148591,7.108351109852389
