epoch,training_loss,validation_loss,validation_mae
1,0.9289633076087288,0.922140694034286,7.470069454045792
2,0.9232321889158608,0.9266448708430352,7.504648711027734
3,0.9228576406534167,0.9247207280352108,7.479610242161939
4,0.9230439055484274,0.9150438305685205,7.34701396196546
5,0.9230471360510674,0.9268403189737188,7.451893714396242
6,0.9223953510712887,0.9132974986671204,7.316354329012948
7,0.9234646473760191,0.9234675665633324,7.4722652325815195
8,0.9220315048314524,0.9246767727122822,7.471947372863286
9,0.9209241077174312,0.9364143811157762,7.6648240693685095
10,0.9230043611664703,0.9227289550562319,7.435481963383943
11,0.9221474138550136,0.9138624755781912,7.338766049606934
12,0.9222960023603578,0.9243580884213397,7.487512165728771
13,0.9216350995975992,0.9215015802644662,7.466280125500858
14,0.9219035715642183,0.9137640821217006,7.315885894917205
15,0.9228842005522355,0.9193025890596186,7.431717388611414
16,0.9207855502764384,0.9250463007880512,7.4834203514727315
17,0.9217665695453036,0.9132975725156615,7.308590770855578
18,0.921776842587236,0.9231732329101533,7.457853390271981
19,0.9203997661756432,0.9125731228585011,7.28704942568504
20,0.9196299333848815,0.9154887899095379,7.367027440149037
21,0.921102173604827,0.9130385797951445,7.29910311803335
22,0.9206715166050455,0.9203346740779753,7.4232266155780735
23,0.9211794458610424,0.9119427257773988,7.29857608697904
24,0.9212894131826318,0.9084990818815399,7.282230189621529
25,0.9213498810063238,0.9186488057737567,7.432064761246905
26,0.9201468870950782,0.9087594679127173,7.288966899123728
27,0.9203101048607757,0.9201349448912235,7.4347870540531025
28,0.9201904660722484,0.9233336503902414,7.49790643570492
29,0.9209516509373983,0.9248972913430034,7.4872522315947165
30,0.9208282983475837,0.9186229241747436,7.431301643392756
31,0.9198478723263395,0.913544285406496,7.309502197545957
32,0.9220759978501694,0.9225678884408761,7.4705106196529725
33,0.9206136379380156,0.9194289748862933,7.415248162722583
34,0.921941248299419,0.9139977131151131,7.37266680762911
35,0.9212308993201325,0.919970323226648,7.443863507874994
36,0.9227700480516406,0.9201247089394351,7.451025321765045
37,0.921327535967896,0.9188218587945313,7.420239479333557
38,0.9209748862100684,0.908700338771629,7.263419118895132
39,0.9203361739628557,0.9066351768293753,7.2612508621448875
40,0.9198716122171153,0.9249735997519318,7.522749157273765
41,0.9208217770120372,0.9160803492723555,7.340256336474823
42,0.9215780643794848,0.9112317931989983,7.289498988000433
43,0.9221322173312091,0.919318534184763,7.420795221641366
44,0.9217121715131014,0.913189049072879,7.351753533064425
45,0.9215099763870239,0.9109983106906281,7.295140018060496
46,0.9204793488115505,0.922404886648254,7.44735776255814
47,0.9215099423173545,0.9142455197401933,7.337838455295317
48,0.9218999238290648,0.9195384120219875,7.416600046541983
49,0.9211286621853925,0.9175610403419374,7.375707975380284
50,0.920560245928557,0.9156135530988219,7.333818354119455
