delta,epoch,epoch_time_seconds,epsilon,steps,train_loss,val_loss
0.0,1,45.28210258483887,inf,149,0.27656301396005106,0.1983900253068317
0.0,2,45.16379117965698,inf,149,0.21481418829636287,0.1990496807477691
0.0,3,45.38100218772888,inf,149,0.2134718006889292,0.19546694579449567
0.0,4,45.52202367782593,inf,149,0.21292728655690316,0.19507619806311347
0.0,5,45.654478549957275,inf,149,0.21160100070422128,0.19537436284802176
0.0,6,45.675366163253784,inf,149,0.21190514270491248,0.19417291405526074
0.0,7,45.68517756462097,inf,149,0.2120987894951097,0.19382484595883975
0.0,8,45.687920331954956,inf,149,0.21117076377740643,0.19295728409832175
0.0,9,45.67689824104309,inf,149,0.2110993250104405,0.19695887375961652
0.0,10,45.70422983169556,inf,149,0.21117759250954493,0.1931203312494538
