delta,epoch,epsilon,stage,target_epsilon,train_loss,val_accuracy,val_f1,val_loss
0.0,1,0.0,1,0.0,0.7804600220818493,0.7323960250275501,0.46769661645859895,
0.0,2,0.0,1,0.0,0.7682750707119107,0.725270518954676,0.46667831989842223,
0.0,3,0.0,1,0.0,0.7668803833299842,0.7314243651085217,0.46915187322303253,
0.0,4,0.0,1,0.0,0.7661812896170785,0.694287817445661,0.46813071525824806,
0.0,5,0.0,1,0.0,0.7659862898419335,0.7388958410010498,0.4668923052850085,
0.0,6,0.0,1,0.0,0.7658706548596166,0.7201214574898255,0.4672443975916062,
0.0,7,0.0,1,0.0,0.7646527138987551,0.7399227088700228,0.46695523729028027,
0.0,8,0.0,1,0.0,0.7646037937005573,0.719020979020926,0.4655123578989898,
0.0,1,0.0,2,0.0,0.16740496147490558,,,0.1484069691469657
0.0,2,0.0,2,0.0,0.1653556510275461,,,0.1466370763879915
0.0,3,0.0,2,0.0,0.16514863144575548,,,0.14844832962182972
0.0,4,0.0,2,0.0,0.1653259268239693,,,0.146638803712132
0.0,5,0.0,2,0.0,0.1652275601699531,,,0.14551966609111863
0.0,6,0.0,2,0.0,0.16524065651593764,,,0.14579075516678178
0.0,7,0.0,2,0.0,0.16534821245055192,,,0.14802609219882837
0.0,8,0.0,2,0.0,0.16564506222090267,,,0.14563988263134187
0.0,9,0.0,2,0.0,0.16550448915165214,,,0.14721896411415716
0.0,10,0.0,2,0.0,0.16558535714234057,,,0.14745040801936926
0.0,1,0.0,3,0.0,0.006908456346956145,,,0.011174060888025123
0.0,2,0.0,3,0.0,0.006526816465039075,,,0.011036993126308757
0.0,3,0.0,3,0.0,0.006467618606978405,,,0.01091328758662445
0.0,4,0.0,3,0.0,0.006426697530020818,,,0.010878639264491782
0.0,5,0.0,3,0.0,0.006397962734146925,,,0.010806256441641836
0.0,6,0.0,3,0.0,0.006376996199421786,,,0.010765380201061976
0.0,7,0.0,3,0.0,0.006357179578634913,,,0.010761619995826279
0.0,8,0.0,3,0.0,0.006344437394547034,,,0.010712766384631237
0.0,9,0.0,3,0.0,0.006328627102678305,,,0.010698885850291906
0.0,10,0.0,3,0.0,0.006325842161830808,,,0.010706871945829356
0.0,11,0.0,3,0.0,0.006312589496680928,,,0.010676086883579215
0.0,12,0.0,3,0.0,0.006303987939999543,,,0.010790861495502598
0.0,13,0.0,3,0.0,0.006299470114405173,,,0.010651603236769341
0.0,14,0.0,3,0.0,0.006293794588802174,,,0.01058691502683243
