epoch,train_loss,val_loss,val_mae,val_r2,val_rmse,epsilon,lr,epoch_time
1,0.9042423800360022,0.8608479873870704,6.60359002362513,0.13419881389933538,9.12058776681362,No DP,0.0005,632.5935089588165
2,0.8940690062300511,0.8594447902428751,6.556271111754779,0.13607614591469985,9.110884061571241,No DP,0.0005,632.3059341907501
3,0.8923147696906618,0.8553783031829479,6.480304664652977,0.1461966311684154,9.058371421492378,No DP,0.0005,593.3833560943604
4,0.8911979980507472,0.8563065741391592,6.588973816297465,0.14406904382644345,9.06976626719322,No DP,0.0005,591.5749733448029
5,0.8906987420782412,0.8484962989221129,6.384501400547268,0.1608972082711511,8.980385349889891,No DP,0.0005,590.4822039604187
6,0.8901519342530908,0.8504983731096243,6.454100404313308,0.15704908805078377,8.999907685685221,No DP,0.0005,594.1646008491516
7,0.8898184417018757,0.8690467095441735,6.730606700390393,0.12212071800286484,9.18475355363993,No DP,0.0005,592.6410880088806
8,0.8896871058404308,0.8561744560155266,6.5744352953522265,0.14636704685792998,9.056963694950984,No DP,0.0005,590.8484151363373
9,0.8894967581998998,0.8554329916075283,6.5519739472613985,0.14774927099926963,9.049288481763545,No DP,0.0005,591.8542976379395
10,0.8884817063808441,0.8452876843384204,6.373095031308448,0.16735923547364762,8.945734177369836,No DP,0.00025,592.9301919937134
11,0.8883875392014355,0.8652754014899411,6.696383639633537,0.12820057199902482,9.152216759604432,No DP,0.00025,590.9550788402557
12,0.8882678799728783,0.8838593663186786,6.959553673874712,0.09020070230462629,9.348891979854283,No DP,0.00025,593.0141894817352
13,0.8882835573082457,0.8656149137742913,6.670811416102574,0.12815131852206504,9.151794388397967,No DP,0.00025,592.2901158332825
14,0.8881588158502379,0.8614484745967914,6.630512543708744,0.13568348989770548,9.112565493662755,No DP,0.00025,591.603080034256
15,0.8876315562741662,0.8582189762184698,6.548007500234648,0.14189542372306033,9.08090246952019,No DP,0.000125,591.8723690509796
16,0.8876506086015369,0.8652283497939832,6.693504394502022,0.12832417212007582,9.151777432321046,No DP,0.000125,591.8526437282562
