delta,epoch,epoch_time_seconds,epsilon,stage,total_steps,train_loss,train_nondelayed,train_nondelayed_ratio,val_accuracy,val_f1,val_loss,val_nondelayed,val_nondelayed_ratio,val_precision,val_recall
1e-05,0,1530.7367448806763,3.5670438372591686,1,1726,0.47902482558097925,,,0.9388895947135829,0.05500981845384303,,,,0.04458598725972656,0.07179487179119
1e-05,1,1543.8844983577728,5.854873733966089,1,3452,0.4727742072639432,,,0.9317748697739401,0.07253885563388754,,,,0.05468749999857585,0.107692307686785
1e-05,2,1536.2063307762146,8.142703630673012,1,5178,0.4803549804630865,,,0.9001397535244567,0.05980860886183374,,,,0.03900156006179405,0.1282051281985536
1e-05,0,1242.4973094463348,10.430533527379932,2,6904,0.1514517736307163,,,,,0.006715054761865908,,,,
1e-05,1,1171.131536245346,12.718363424086853,2,8630,0.135344709126173,,,,,0.0076056305821234835,,,,
1e-05,2,1170.8913412094116,15.006193320793775,2,10356,0.14277490950594218,,,,,0.009433192249352951,,,,
,0,629.8410797119141,15.006193320793775,3,,0.03598692202519707,233566.0,0.7049814673958975,,,10.203113026929554,27218.0,0.576774740411104,,
,1,625.930135011673,15.006193320793775,3,,0.025934308025929838,233566.0,0.7049814673958975,,,10.223684694873263,27218.0,0.576774740411104,,
,2,978.7111117839813,15.006193320793775,3,,0.08883922181695458,233566.0,0.7049814673958975,,,23.199410753181226,27218.0,0.576774740411104,,
