model,precision,recall,f1,accuracy
CNN,0.4748575446936619,0.7988099573621901,0.5949670163809153,0.7378038067349657
LSTM,0.458087624157579,0.8313186234681098,0.5902131880751769,0.7215904099560497
GRU,0.45630422697050277,0.8295949466774626,0.5877017761922328,0.7195259882869429
STPN,0.0,0.0,0.0,0.7578330893118317
