epoch,loss,mae,r2,rmse
1,39.078495025634766,8.813715363697654,-1.3408871174687669,15.00097830674011
2,43.50792694091797,13.765848681780806,-5.583578573589591,25.15708936570265
3,5.902291297912598,6.3761328777065565,-0.36148617863331906,11.440276879707516
4,2.9400148391723633,6.292312329529121,-0.17273355483106403,10.61767987509541
5,1.3158230781555176,9.658960966151831,-1.979995841791691,16.925143960218275
6,762.2022094726562,26.23699656444604,-41.26629014392165,63.742191657980875
7,1.3003777265548706,6.4647586605850895,-0.31284437490930594,11.234056113145328
8,1.3746891021728516,7.474971215617289,-0.9810463647756714,13.799935797860684
9,108.87333679199219,6.0978163136801875,-0.10972660357496128,10.328514609600441
10,7.7396063804626465,7.217645117655942,-0.6638370349208801,12.6469368217442
11,48.7907600402832,6.0765857457472725,-0.09999859643395219,10.283146045329406
12,0.8972217440605164,5.94359015928229,-0.05933676023268233,10.091296027026095
13,0.9049097299575806,5.96377995878793,-0.069970889319371,10.141820676529912
14,0.9008578062057495,7.7080737061782445,-1.5735028841195569,15.728441688330951
15,0.9735560417175293,5.716887694247935,0.002033915626817401,9.794625653712396
16,1.1175442934036255,25.9207962727164,-55.819597913546126,73.90165622520774
17,1.0520375967025757,6.041495170887593,-0.09246723188110946,10.247882814897023
18,0.9045100212097168,-5735.752898995367,-19858.909576542632,1381.713189627957
19,0.9590558409690857,23.591326180103934,-30.68880666923665,55.19241714723896
20,0.9240912795066833,5.958575967336176,-0.06166841486023831,10.102396314543457
