epoch,loss,mae,r2,rmse
1,1.0280606746673584,23.033875464424952,-25.86311620976413,50.81689639926077
2,1.559130311012268,26.678862195634302,-57.39054639070286,74.92059819122656
3,1.0303609371185303,11.578137838170154,-4.145992908290058,22.24152262516222
4,17.633861541748047,6.841087286014747,-0.3578060238287761,11.424804407461323
5,1201.517578125,7.281762792825753,-0.5287225980180894,12.122558796624887
6,170.65504455566406,6.149551018219439,-0.15603245811574917,10.541804838430343
7,7.789326190948486,14.175526075758706,-6.088862961248676,26.10461497513862
8,4.969930171966553,6.6340105964074105,-0.2959213433077115,11.161415467800202
9,1.185073971748352,6.502134921392117,-0.21628173376659618,10.813021321909032
10,369.8858642578125,11.286214750820442,-2.943876298808048,19.471048686176932
11,1.1831438541412354,15.601016546165532,-7.411723208724286,28.43573327475377
12,0.9747515916824341,20.1059129656976,-220.0130006773186,145.76016255982202
13,0.9233214259147644,8.277266651117479,-1.0204688916840625,13.93653985716147
14,0.9702053070068359,6.5187868007496235,-0.2588540183335917,11.000223906734817
15,62.819976806640625,25.3895521208252,-65.25024493491091,79.79392880016793
